Week ,Date,Materials,Assignment
1,"Wednesday, May 28, 2024",[Using R and RStudio](#r_rstudio),Install R and Rstudio
2,"Friday, May 31, 2024",[Using R and RStudio continued](#rstudio_continued),Share R scripts (part 1)
3,"Wednesday, June 5, 2024",[Group Work Overview](#tools),Share R scripts (part 2)
4,"Friday, June 7, 2024",[Using RMarkdown](#rmarkdown),Share Rmarkdown file
5,"Wednesday, June 12, 2024",[Using git and Github](#github_git),Start a Github repo
6,"Friday, June 14, 2024",[Model Programming](#model_programming),Share R scripts (part 3)
7,"Wednesday, June 19, 2024",[Calibration training](#calibration_seminar),Participate in calibration training
8,"Friday, June 21, 2024",[Model functions](#model_functions),Share updated model
9,"Wednesday, June 26, 2024",[Value of information](#model_share_seminar),Share R scripts (part 3)
10,"Friday, June 28, 2024",[Communicating Decision Support](#communicating),
11,"Wednesday, July 03, 2024",[Model forecasts](#forecast_seminar),Share initial forecasts
12,"Friday, July 5, 2024",[Citation Management](#citations),Join Zotero Group
13,"Wednesday, July 10, 2024",Guest Lecture ,
14,"Friday, July 12, 2024",Consultation ,
15,"Wednesday, July 17, 2024",Groups present / discuss final model,Present
16,"Friday, July 19, 2024",Presentations continued,Present
